Komoditas (Rp);Semua Provinsi;Jawa Timur
Apr  2017 (I);40259;29200
Apr  2017 (II);39954;29750
Apr  2017 (III);37914;30350
Apr  2017 (IV);35500;30100
May  2017 (V);36431;28550
May  2017 (I);35654;28100
May  2017 (II);35212;26950
May  2017 (III);34658;26000
May  2017 (IV);34604;24300
Jun  2017 (I);31825;21600
Jun  2017 (II);30097;20250
Jun  2017 (III);31824;24100
Jul  2017 (I);34954;22900
Jul  2017 (II);36029;20650
Jul  2017 (III);37027;21150
Jul  2017 (IV);35713;20000
Jul  2017 (V);34848;18150
Aug  2017 (I);33575;16800
Aug  2017 (II);33027;14350
Aug  2017 (III);32744;13250
Aug  2017 (IV);32631;12650
Sep  2017 (I);33350;12950
Sep  2017 (II);32744;11800
Sep  2017 (III);32777;11300
Sep  2017 (IV);32250;11150
Oct  2017 (V);32633;11050
Oct  2017 (I);31377;11500
Oct  2017 (II);30691;12100
Oct  2017 (III);30515;13000
Oct  2017 (IV);29570;13150
Nov  2017 (I);29865;13200
Nov  2017 (II);30208;12750
Nov  2017 (III);30467;12100
Nov  2017 (IV);30629;12000
Dec  2017 (I);32477;12850
Dec  2017 (II);32052;13500
Dec  2017 (III);34467;17900
Dec  2017 (IV);37803;20650
Jan  2018 (V);41198;24050
Jan  2018 (I);41136;22250
Jan  2018 (II);41092;21900
Jan  2018 (III);40614;22900
Jan  2018 (IV);39758;22150
Feb  2018 (I);38548;22700
Feb  2018 (II);38732;22900
Feb  2018 (III);39405;21700
Feb  2018 (IV);39517;20200
Mar  2018 (I);40208;20350
Mar  2018 (II);41415;20850
Mar  2018 (III);40724;19750
Mar  2018 (IV);39597;19050
Apr  2018 (V);39358;18600
Apr  2018 (I);38647;17350
Apr  2018 (II);36108;16100
Apr  2018 (III);33582;14700
Apr  2018 (IV);32821;14600
May  2018 (I);33009;16200
May  2018 (II);33755;16800
May  2018 (III);34371;17000
May  2018 (IV);34105;15350
Jun  2018 (I);35155;18550
Jun  2018 (II);40136;23600
Jun  2018 (III);41945;25950
Jun  2018 (IV);36921;22000
Jul  2018 (V);39945;24950
Jul  2018 (I);42615;27200
Jul  2018 (II);44147;26700
Jul  2018 (III);42545;22900
Jul  2018 (IV);40506;19600
Aug  2018 (I);38783;16850
Aug  2018 (II);38135;15950
Aug  2018 (III);40050;15900
Aug  2018 (IV);38258;14450
Sep  2018 (I);35708;12500
Sep  2018 (II);35320;12450
Sep  2018 (III);35152;13200
Sep  2018 (IV);35848;13950
Oct  2018 (V);35930;15400
Oct  2018 (I);35515;17100
Oct  2018 (II);36124;18150
Oct  2018 (III);35714;18200
Oct  2018 (IV);35735;17300
Nov  2018 (I);35435;17150
Nov  2018 (II);35958;15800
Nov  2018 (III);36548;15200
Nov  2018 (IV);35603;15350
Dec  2018 (I);36252;14900
Dec  2018 (II);35847;16050
Dec  2018 (III);36129;17700
Dec  2018 (IV);36647;18650
Dec  2018 (V);36556;18500
Jan  2019 (I);34770;16750
Jan  2019 (II);33086;14700
Jan  2019 (III);32173;13700
Jan  2019 (IV);31229;12900
Feb  2019 (I);30603;12750
Feb  2019 (II);30961;12200
Feb  2019 (III);30309;12500
Feb  2019 (IV);30482;12650
Mar  2019 (I);31597;12950
Mar  2019 (II);32558;13350
Mar  2019 (III);33121;13650
Mar  2019 (IV);33023;13750
Apr  2019 (V);32461;13050
Apr  2019 (I);33370;12050
Apr  2019 (II);34859;13050
Apr  2019 (III);38111;14650
Apr  2019 (IV);37124;13850
May  2019 (I);41532;14850
May  2019 (II);37430;13850
May  2019 (III);37105;13900
May  2019 (IV);37953;14850
Jun  2019 (I);42976;17300
Jun  2019 (II);41097;17000
Jun  2019 (III);39097;16900
Jun  2019 (IV);42871;25250
Jul  2019 (V);49247;36900
Jul  2019 (I);53998;44650
Jul  2019 (II);58059;53700
Jul  2019 (III);60062;52250
Jul  2019 (IV);62085;45600
Aug  2019 (I);62753;43000
Aug  2019 (II);64285;42550
Aug  2019 (III);57653;31000
Aug  2019 (IV);52241;25050
Sep  2019 (V);51488;24900
Sep  2019 (I);51682;26150
Sep  2019 (II);51220;25250
Sep  2019 (III);49732;24050
Sep  2019 (IV);49755;23450
Oct  2019 (I);51064;24100
Oct  2019 (II);50702;23950
Oct  2019 (III);49627;22300
Oct  2019 (IV);48673;20300
Nov  2019 (I);47994;19750
Nov  2019 (II);47483;20050
Nov  2019 (III);44445;19400
Nov  2019 (IV);40032;18150
Dec  2019 (V);35876;17800
Dec  2019 (I);34153;19150
Dec  2019 (II);33118;20450
Dec  2019 (III);35329;20100
Dec  2019 (IV);36282;23250
Jan  2020 (I);40229;29500
Jan  2020 (II);40656;32050
Jan  2020 (III);42736;35200
Jan  2020 (IV);44491;33000
Feb  2020 (I);43645;29250
Feb  2020 (II);41395;25050
Feb  2020 (III);39238;25400
Feb  2020 (IV);37439;23450
Mar  2020 (V);36500;22950
Mar  2020 (I);35830;23050
Mar  2020 (II);35150;22850
Mar  2020 (III);36076;21900
Mar  2020 (IV);36906;20350
Apr  2020 (I);36471;19500
Apr  2020 (II);35583;18000
Apr  2020 (III);34608;16200
Apr  2020 (IV);33988;14900
May  2020 (I);31291;13150
May  2020 (II);29985;12300
May  2020 (III);29456;12550
May  2020 (IV);33533;15450
Jun  2020 (V);30430;12500
Jun  2020 (I);30685;11700
Jun  2020 (II);30592;12300
Jun  2020 (III);31203;13000
Jun  2020 (IV);31191;13400
Jul  2020 (I);31797;14200
Jul  2020 (II);32259;14450
Jul  2020 (III);32156;14650
Jul  2020 (IV);33029;13700
Aug  2020 (I);35315;14550
Aug  2020 (II);33186;13400
Aug  2020 (III);31923;13050
Aug  2020 (IV);30638;12150
Aug  2020 (V);31189;12250
Sep  2020 (I);31192;12600
Sep  2020 (II);31009;12000
Sep  2020 (III);31188;12100
Sep  2020 (IV);31329;12150
Oct  2020 (I);32408;11900
Oct  2020 (II);34309;11650
Oct  2020 (III);34241;11950
Oct  2020 (IV);33874;12550
Nov  2020 (V);33721;14150
Nov  2020 (I);34073;14800
Nov  2020 (II);34521;15900
Nov  2020 (III);34394;17250
Nov  2020 (IV);37491;18900
Dec  2020 (I);41568;22250
Dec  2020 (II);44582;26800
Dec  2020 (III);49420;28950
Dec  2020 (IV);54680;36300
Jan  2021 (I);59052;39650
Jan  2021 (II);58058;38550
Jan  2021 (III);60194;42300
Jan  2021 (IV);60726;46750
Feb  2021 (V);61739;46100
Feb  2021 (I);62952;46650
Feb  2021 (II);61988;45200
Feb  2021 (III);61288;45850
Mar  2021 (V);61945;46450
Mar  2021 (I);61395;38900
Mar  2021 (II);58830;35850
Mar  2021 (III);58191;35050
Mar  2021 (IV);57903;32700
Apr  2021 (I);56467;30050
Apr  2021 (II);56800;28600
Apr  2021 (III);53006;25400
Apr  2021 (IV);47853;22400
May  2021 (I);46088;21750
May  2021 (II);48492;23800
May  2021 (III);46292;23500
May  2021 (IV);41359;20100
Jun  2021 (I);40275;20400
Jun  2021 (II);42011;22400
Jun  2021 (III);44922;24600
Jun  2021 (IV);46772;25200
Jul  2021 (I);46932;26850
Jul  2021 (II);47050;25400
Jul  2021 (III);48759;24150
Jul  2021 (IV);44375;20750
Aug  2021 (V);40522;18300
Aug  2021 (I);40255;15700
Aug  2021 (II);37238;13550
Aug  2021 (III);34397;12450
Aug  2021 (IV);34772;12700
Sep  2021 (I);34852;13750
Sep  2021 (II);34542;14150
Sep  2021 (III);34779;14500
Sep  2021 (IV);35362;15250
Oct  2021 (I);36064;16600
Oct  2021 (II);36177;16800
Oct  2021 (III);35892;16750
Oct  2021 (IV);34532;15500
Nov  2021 (V);33146;14450
Nov  2021 (I);33191;13850
Nov  2021 (II);34455;14450
Nov  2021 (III);37918;18850
Nov  2021 (IV);42500;29400
Dec  2021 (I);52452;38750
Dec  2021 (II);55765;41000
Dec  2021 (III);57492;37300
Dec  2021 (IV);59748;35000
Jan  2022 (I);58662;33400
Jan  2022 (II);54180;29500
Jan  2022 (III);51093;27800
Jan  2022 (IV);47791;23650
Jan  2022 (V);45206;22700
Feb  2022 (I);44836;23750
Feb  2022 (II);42985;24050
Feb  2022 (III);45274;23600
Feb  2022 (IV);47412;24050
Mar  2022 (I);48036;25100
Mar  2022 (II);47717;23750
Mar  2022 (III);47329;22750
Mar  2022 (IV);46936;22000
Apr  2022 (I);49150;23350
Apr  2022 (II);45123;19700
Apr  2022 (III);43103;19750
Apr  2022 (IV);42773;19650
May  2022 (V);56450;22000
May  2022 (I);42834;21450
May  2022 (II);40185;25300
May  2022 (III);42147;32150
May  2022 (IV);47993;37400
Jun  2022 (I);55151;45850
Jun  2022 (II);60116;46050
Jun  2022 (III);61493;45200
