Komoditas (Rp);Semua Provinsi;Jawa Timur
Apr  2017 (I);58495;51150
Apr  2017 (II);59712;50700
Apr  2017 (III);51705;50850
Apr  2017 (IV);53092;51400
May  2017 (V);53954;56150
May  2017 (I);52755;57100
May  2017 (II);49732;46450
May  2017 (III);49112;47300
May  2017 (IV);53105;37850
Jun  2017 (I);43059;29600
Jun  2017 (II);38273;29100
Jun  2017 (III);41394;37500
Jul  2017 (I);44344;28300
Jul  2017 (II);47821;35550
Jul  2017 (III);51881;40250
Jul  2017 (IV);50302;35500
Jul  2017 (V);47386;32450
Aug  2017 (I);43395;24400
Aug  2017 (II);40424;18450
Aug  2017 (III);38156;15400
Aug  2017 (IV);36961;15150
Sep  2017 (I);36985;14400
Sep  2017 (II);33907;13500
Sep  2017 (III);33702;12950
Sep  2017 (IV);30712;12250
Oct  2017 (V);32573;11950
Oct  2017 (I);30997;12300
Oct  2017 (II);29945;12500
Oct  2017 (III);29738;14250
Oct  2017 (IV);29798;15500
Nov  2017 (I);31981;18100
Nov  2017 (II);33417;18750
Nov  2017 (III);32944;15200
Nov  2017 (IV);32247;14600
Dec  2017 (I);32805;15750
Dec  2017 (II);32656;15950
Dec  2017 (III);38508;30650
Dec  2017 (IV);47664;40550
Jan  2018 (V);49477;38650
Jan  2018 (I);48430;38850
Jan  2018 (II);46738;33850
Jan  2018 (III);44203;28150
Jan  2018 (IV);42275;26050
Feb  2018 (I);42350;31400
Feb  2018 (II);46341;40950
Feb  2018 (III);50452;46500
Feb  2018 (IV);52316;48800
Mar  2018 (I);55464;57850
Mar  2018 (II);57945;53900
Mar  2018 (III);52472;39700
Mar  2018 (IV);50098;33300
Apr  2018 (V);49539;34250
Apr  2018 (I);49694;32750
Apr  2018 (II);46383;27600
Apr  2018 (III);41819;25050
Apr  2018 (IV);38856;23000
May  2018 (I);37292;23000
May  2018 (II);38091;23250
May  2018 (III);38620;22600
May  2018 (IV);37922;21200
Jun  2018 (I);40133;28500
Jun  2018 (II);48633;37650
Jun  2018 (III);48416;33100
Jun  2018 (IV);45062;36650
Jul  2018 (V);53373;47900
Jul  2018 (I);57108;49100
Jul  2018 (II);59197;49550
Jul  2018 (III);56050;46350
Jul  2018 (IV);49962;34050
Aug  2018 (I);45914;31400
Aug  2018 (II);44627;26700
Aug  2018 (III);44512;21900
Aug  2018 (IV);39578;16600
Sep  2018 (I);36108;15250
Sep  2018 (II);34087;15500
Sep  2018 (III);33900;15400
Sep  2018 (IV);35197;16000
Oct  2018 (V);36606;19750
Oct  2018 (I);36573;20600
Oct  2018 (II);36969;22900
Oct  2018 (III);37016;22250
Oct  2018 (IV);36279;20650
Nov  2018 (I);37961;23600
Nov  2018 (II);38355;20350
Nov  2018 (III);39450;18550
Nov  2018 (IV);39656;17550
Dec  2018 (I);41634;18750
Dec  2018 (II);41308;21700
Dec  2018 (III);42226;27550
Dec  2018 (IV);47676;37900
Dec  2018 (V);49210;34150
Jan  2019 (I);44782;27800
Jan  2019 (II);41752;24550
Jan  2019 (III);37000;19350
Jan  2019 (IV);34819;15650
Feb  2019 (I);33442;13500
Feb  2019 (II);32431;12600
Feb  2019 (III);32565;15850
Feb  2019 (IV);33181;16650
Mar  2019 (I);36403;20600
Mar  2019 (II);38913;19000
Mar  2019 (III);39197;17200
Mar  2019 (IV);38102;17600
Apr  2019 (V);37681;15600
Apr  2019 (I);38298;14500
Apr  2019 (II);39673;17450
Apr  2019 (III);43152;20700
