bulan tahun,NTPT
Juli 2017,104.08
Agustus 2017,104.56
September 2017,104.45
Oktober 2017,103.2
November 2017,104.72
Desember 2017,106.3
Januari 2018,108.2
Februari 2018,107.24
Maret 2018,106.39
April 2018,107.16
Mei 2018,108.82
Juni 2018,109.59
Juli 2018,110.31
Agustus 2018,110.37
September 2018,110.12
Oktober 2018,109.28
November 2018,110.01
Desember 2018,112.22
Januari 2020,113.59
Februari 2020,112.36
Maret 2020,110.66
April 2020,110.12
Mei 2020,110.79
Juni 2020,109.79
Juli 2020,110.25
Agustus 2020,110.61
September 2020,111.37
Oktober 2020,110.13
November 2020,110.54
Desember 2020,111.18
